gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	transcript_ID
g16613.t1	96.88565383	3.326901665	0.343619913	9.681923363	3.60E-22	9.33E-20	12	20	123	247	34	16	7	248	125	244	269	6	292	11	sp	O05218	YWRD_BACSU	33.465	505	305	9	193	1701	49	524	6.74E-75	250	Phel_contig_13317
g16613.t1	96.88565383	3.326901665	0.343619913	9.681923363	3.60E-22	9.33E-20	12	20	123	247	34	16	7	248	125	244	269	6	292	11	sp	O05218	YWRD_BACSU	33.465	505	305	9	193	1701	49	524	6.74E-75	250	Phel_contig_25775
g16644.t1	1178.427269	2.34490794	0.360584173	6.503080595	7.87E-11	2.88E-09	510	510	1882	2952	138	335	273	3839	1645	2633	1686	214	2470	200	sp	Q9TU03	GDIR2_BOVIN	49.505	202	96	4	10	612	2	198	1.53E-55	178	Phel_contig_1450
g16660.t1	139.5872588	1.524878858	0.354236576	4.304690597	1.67E-05	0.000147549	43	51	194	222	76	68	21	234	175	463	215	47	264	123	sp	Q5R7A2	ALG1_PONAB	52.273	440	196	6	13	1308	26	459	4.20E-157	455	Phel_contig_10050
g16695.t1	55128.01028	-7.430371947	0.617714955	-12.02880372	2.51E-33	2.14E-30	25132	8311	1443	271	64124	43014	125032	779	1029	702	389	149613	676	170235	sp	O77656	MMP13_BOVIN	33.333	435	236	15	202	1488	66	452	1.24E-59	207	Phel_contig_235
g16695.t1	55128.01028	-7.430371947	0.617714955	-12.02880372	2.51E-33	2.14E-30	25132	8311	1443	271	64124	43014	125032	779	1029	702	389	149613	676	170235	sp	O77656	MMP13_BOVIN	33.333	435	236	15	202	1488	66	452	1.24E-59	207	Phel_contig_296
g16695.t1	55128.01028	-7.430371947	0.617714955	-12.02880372	2.51E-33	2.14E-30	25132	8311	1443	271	64124	43014	125032	779	1029	702	389	149613	676	170235	sp	O77656	MMP13_BOVIN	33.333	435	236	15	202	1488	66	452	1.24E-59	207	Phel_contig_475
g16696.t1	44096.54245	-2.642268801	0.512168358	-5.158984858	2.48E-07	3.72E-06	26942	24872	11498	14695	21879	22590	106900	11988	18632	18025	13841	85999	14916	94493	sp	O77656	MMP13_BOVIN	31.275	502	276	16	1	1473	1	444	3.07E-58	204	Phel_contig_235
g16696.t1	44096.54245	-2.642268801	0.512168358	-5.158984858	2.48E-07	3.72E-06	26942	24872	11498	14695	21879	22590	106900	11988	18632	18025	13841	85999	14916	94493	sp	O77656	MMP13_BOVIN	31.275	502	276	16	1	1473	1	444	3.07E-58	204	Phel_contig_296
g16696.t1	44096.54245	-2.642268801	0.512168358	-5.158984858	2.48E-07	3.72E-06	26942	24872	11498	14695	21879	22590	106900	11988	18632	18025	13841	85999	14916	94493	sp	O77656	MMP13_BOVIN	31.275	502	276	16	1	1473	1	444	3.07E-58	204	Phel_contig_475
g16700.t1	658.2672131	2.948965232	0.498175688	5.919528597	3.23E-09	7.90E-08	59	98	877	943	36	99	189	2113	2075	1654	966	302	1327	48	sp	Q9R0S2	MMP24_MOUSE	33.012	518	292	17	124	1599	56	544	9.60E-68	233	Phel_contig_61
g1682.t1	65.30787588	-2.289763341	0.565142396	-4.05165735	5.09E-05	0.000388751	28	37	32	19	302	112	7	31	22	31	35	72	16	145	sp	O14522	PTPRT_HUMAN	51.299	154	68	2	2881	3333	885	1034	6.04E-39	153	Phel_contig_619
g1682.t1	65.30787588	-2.289763341	0.565142396	-4.05165735	5.09E-05	0.000388751	28	37	32	19	302	112	7	31	22	31	35	72	16	145	sp	O14522	PTPRT_HUMAN	37.931	29	18	0	3345	3431	1038	1066	6.04E-39	32	Phel_contig_619
g1683.t1	51.11338472	-2.666747418	0.573026043	-4.653797939	3.26E-06	3.58E-05	26	27	5	14	249	83	8	23	13	21	29	64	15	115	sp	Q99M80	PTPRT_MOUSE	30.579	363	180	7	1	879	1093	1453	2.84E-49	179	Phel_contig_6408
g16928.t1	226.9635488	1.564431417	0.365516669	4.280054913	1.87E-05	0.000161731	216	65	273	571	97	137	44	498	415	132	409	101	762	43	sp	Q62867	GGH_RAT	49.653	288	141	4	79	939	33	317	2.70E-99	298	Phel_contig_13033
g16936.t1	817.6822727	-3.061152985	0.914465423	-3.34747811	0.000815504	0.003989053	18	18	203	56	2262	1900	51	310	319	307	102	335	172	4298	sp	P27463	AL1A1_CHICK	59.504	484	178	2	16	1413	26	509	0	574	Phel_contig_7066
g16951.t1	124.1086636	2.561016226	0.325131382	7.876865676	3.36E-15	2.84E-13	26	19	199	288	31	80	16	272	160	242	342	17	358	29	sp	P80404	GABT_HUMAN	57.422	256	105	3	121	885	27	279	3.60E-106	321	Phel_contig_20161
g16952.t1	111.2887755	2.662666467	0.421432841	6.318127606	2.65E-10	8.55E-09	13	16	159	308	19	84	10	234	152	208	301	12	330	32	sp	P80147	GABT_PIG	49.761	209	105	0	1	627	290	498	1.14E-72	231	Phel_contig_14297
g16960.t1	343.0670825	-1.299643264	0.251778687	-5.161847809	2.45E-07	3.68E-06	481	468	197	269	273	265	371	316	241	193	221	498	284	397	sp	Q90889	MAFG_CHICK	49.315	146	74	0	16	453	7	152	7.24E-40	135	Phel_contig_1944
g16967.t1	1432.933354	-5.918542812	0.530895018	-11.14823574	7.30E-29	3.74E-26	249	1206	90	48	2406	1696	3198	63	61	14	53	4278	74	2493	sp	Q06248	HSP74_PARLI	76.48	642	128	2	34	1917	7	639	0	1011	Phel_contig_6857
g1699.t1	211.4131201	-1.713066273	0.30684987	-5.582750535	2.37E-08	4.68E-07	215	287	116	105	603	369	92	148	104	81	193	287	96	187	sp	O14522	PTPRT_HUMAN	38.739	555	328	9	2428	4077	867	1414	6.29E-122	419	Phel_contig_619
g1699.t1	211.4131201	-1.713066273	0.30684987	-5.582750535	2.37E-08	4.68E-07	215	287	116	105	603	369	92	148	104	81	193	287	96	187	sp	O14522	PTPRT_HUMAN	30.165	242	155	6	2560	3261	1201	1436	2.22E-26	122	Phel_contig_619
g1699.t1	211.4131201	-1.713066273	0.30684987	-5.582750535	2.37E-08	4.68E-07	215	287	116	105	603	369	92	148	104	81	193	287	96	187	sp	O14522	PTPRT_HUMAN	28.727	275	179	7	3259	4080	863	1121	6.93E-25	117	Phel_contig_619
g17015.t1	276.7093813	0.65086072	0.236042654	2.757386048	0.005826552	0.020646588	192	335	311	547	176	192	87	459	346	351	413	186	530	118	sp	Q5ZL55	CHMP6_CHICK	66.48	179	52	3	1	531	1	173	1.16E-60	191	Phel_contig_8821
g17083.t1	281.6669167	-1.359057516	0.393197947	-3.456420686	0.0005474	0.002843398	298	672	340	164	210	172	327	159	123	177	167	332	211	228	sp	Q7T2A5	EIF3L_DANRE	66.135	564	169	3	1	1632	1	562	0	729	Phel_contig_2018
g1711.t1	1604.606484	-2.492494078	0.368396681	-6.765788631	1.33E-11	5.67E-10	1053	1332	653	719	1855	1689	3257	553	669	376	552	2979	635	2406	sp	Q66JF3	MKNK1_XENTR	58.629	394	152	5	352	1527	31	415	1.19E-152	445	Phel_contig_904
g17121.t1	47.45339227	-4.079505826	0.774136326	-5.269751193	1.37E-07	2.22E-06	3	122	1	2	33	24	118	9	15	7	5	24	6	113	sp	A2APV2	FMNL2_MOUSE	36.148	379	236	3	403	1521	609	987	5.12E-66	239	Phel_contig_17045
g17169.t1	97.60088807	1.867191245	0.335202749	5.57033393	2.54E-08	4.99E-07	58	41	161	122	39	26	12	169	141	289	210	22	220	51	sp	P25325	THTM_HUMAN	42.049	283	155	4	16	858	9	284	2.95E-87	266	Phel_contig_14226
g17202.t1	527.7620819	-0.783779511	0.139291893	-5.626885358	1.83E-08	3.74E-07	546	533	384	497	832	590	392	475	422	545	434	609	605	458	sp	P31319	KAPR_APLCA	71.615	384	101	3	1	1146	1	378	0	568	Phel_contig_4490
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	43.191	257	142	3	10	774	417	671	2.26E-61	209	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	41.245	257	147	2	10	774	389	643	1.91E-57	199	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	41.518	224	129	1	10	675	473	696	4.18E-55	192	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	37.5	256	156	2	13	774	362	615	5.64E-48	173	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	45.614	171	91	1	10	516	529	699	7.09E-45	164	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	35.628	247	155	2	40	774	343	587	4.66E-43	159	Phel_contig_7186
g17221.t1	10.11158157	1.0884799	0.433626863	2.510176361	0.012067088	0.03738843	7	7	19	22	5	5	6	12	22	7	10	4	27	3	sp	Q6ZMW2	ZN782_HUMAN	34.694	245	156	2	46	774	317	559	1.60E-38	147	Phel_contig_7186
g17237.t1	265.1857346	-1.678634843	0.367346326	-4.569624698	4.89E-06	5.11E-05	340	289	256	129	231	303	279	143	124	46	172	278	227	544	sp	A4VPC3	ISPE_STUS1	56.25	272	119	0	22	837	2	273	9.84E-97	289	Phel_contig_4016
g17246.t1	8143.502578	-5.787740096	0.384544382	-15.05090276	3.41E-51	3.49E-47	13260	4485	618	128	17881	9685	12441	328	378	282	283	19791	447	15040	sp	P49109	FMO5_CAVPO	38.306	543	309	8	13	1611	4	530	3.24E-127	394	Phel_contig_171
g17254.t1	128.7659744	-1.284697641	0.229435422	-5.599386666	2.15E-08	4.30E-07	128	99	76	60	224	154	128	112	82	82	76	211	181	133	sp	Q80U30	CL16A_MOUSE	54	800	285	17	1	2238	1	771	0	768	Phel_contig_13487
g17258.t1	985.0619398	-5.038768626	0.635169357	-7.932952956	2.14E-15	1.88E-13	381	538	107	11	1624	1169	2465	19	28	171	65	1671	84	2152	sp	O35717	SOCS2_MOUSE	40.741	189	85	3	166	732	35	196	3.28E-35	127	Phel_contig_124
g17367.t1	365.2350918	-3.1564335	0.504055198	-6.262079063	3.80E-10	1.17E-08	565	47	140	82	894	1037	192	56	67	92	88	1389	101	220	sp	Q6PJ21	SPSB3_HUMAN	53.409	176	79	2	532	1059	145	317	8.40E-57	193	Phel_contig_8535
g17508.t1	58.90617538	-5.552761008	1.582203583	-3.509511081	0.000448931	0.002413905	0	0	13	0	62	344	1	0	2	0	4	17	0	292	sp	P08594	AQL1_THEAQ	38.532	327	171	8	106	1023	49	366	5.32E-53	186	Phel_contig_25210
g17517.t1	597.0569784	-2.11073877	0.345124994	-6.115867611	9.60E-10	2.69E-08	551	522	222	206	428	788	1008	254	330	343	214	899	368	1042	sp	Q5MJS3	FA20C_MOUSE	60.519	347	134	3	598	1632	221	566	1.25E-143	430	Phel_contig_5602
g17524.t1	1120.729109	1.662963132	0.296317767	5.6120939	2.00E-08	4.02E-07	729	318	1897	1874	286	363	460	1913	1927	2050	2155	330	3030	482	sp	P70549	NAC3_RAT	37.573	857	399	18	28	2247	56	893	3.73E-142	445	Phel_contig_1499
g17525.t1	57.55849219	-0.692280613	0.24105305	-2.871901486	0.004080101	0.015364929	50	63	68	51	98	73	32	75	34	55	33	79	67	40	sp	Q6P8E9	NH2L1_XENTR	81.102	127	24	0	7	387	2	128	1.90E-63	192	Phel_contig_4737
g17566.t1	2370.693218	-1.13130087	0.315444777	-3.586367415	0.000335316	0.001900405	2622	2721	2315	1524	1423	1911	3312	1764	1399	1669	1869	3244	2254	2441	sp	Q6RUV5	RAC1_RAT	89.637	193	19	1	1	579	1	192	2.11E-125	354	Phel_contig_3656
g17566.t1	2370.693218	-1.13130087	0.315444777	-3.586367415	0.000335316	0.001900405	2622	2721	2315	1524	1423	1911	3312	1764	1399	1669	1869	3244	2254	2441	sp	Q6RUV5	RAC1_RAT	89.637	193	19	1	1	579	1	192	2.11E-125	354	Phel_contig_9460
g17567.t1	131.8822141	-1.603611522	0.407872366	-3.931650324	8.44E-05	0.000600497	161	276	135	62	69	164	174	81	64	34	74	101	116	134	sp	Q6RUV5	RAC1_RAT	85.876	177	25	0	4	534	1	177	1.29E-114	327	Phel_contig_3656
g17567.t1	131.8822141	-1.603611522	0.407872366	-3.931650324	8.44E-05	0.000600497	161	276	135	62	69	164	174	81	64	34	74	101	116	134	sp	Q6RUV5	RAC1_RAT	85.876	177	25	0	4	534	1	177	1.29E-114	327	Phel_contig_9460
g17615.t1	356.828423	-3.518205517	0.625670261	-5.62309852	1.88E-08	3.81E-07	1137	520	41	61	129	673	383	185	10	84	65	61	55	756	sp	Q06805	TIE1_BOVIN	35.51	245	142	7	787	1506	112	345	4.48E-40	159	Phel_contig_907
g17668.t1	346.2720282	-1.422664826	0.282906526	-5.028745162	4.94E-07	6.75E-06	543	543	249	216	302	408	329	187	180	361	189	380	205	377	sp	Q9BQA9	CYBC1_HUMAN	38.889	162	98	1	4	486	1	162	1.10E-28	108	Phel_contig_3790
g17678.t1	76.33299461	1.509906881	0.285075996	5.296506551	1.18E-07	1.94E-06	26	35	109	165	56	56	7	173	115	71	173	49	195	23	sp	Q1JP75	DCXR_BOVIN	60.976	205	80	0	61	675	39	243	4.60E-89	265	Phel_contig_1669
g17754.t1	502.7019142	-1.044826458	0.268403293	-3.892748288	9.91E-05	0.000683159	490	553	397	411	418	387	619	502	389	378	287	688	474	589	sp	Q4R5V2	EMC7_MACFA	55.114	176	78	1	82	606	43	218	9.55E-57	183	Phel_contig_1721
g1781.t1	7707.490667	2.551813001	0.309698687	8.239663601	1.73E-16	1.79E-14	3522	3088	17690	14776	1570	2209	792	18175	11763	15468	16450	1419	19550	875	sp	P26932	CNN1_CHICK	47.568	185	96	1	7	561	7	190	1.40E-55	180	Phel_contig_3342
g17844.t1	1581.697734	-2.194245313	0.445294842	-4.927623469	8.32E-07	1.08E-05	1502	2554	1315	340	1206	1432	2528	501	437	1143	462	2751	459	2182	sp	Q94738	HSP97_MESFR	58.286	887	345	8	1	2589	1	886	0	941	Phel_contig_15246
g17844.t1	1581.697734	-2.194245313	0.445294842	-4.927623469	8.32E-07	1.08E-05	1502	2554	1315	340	1206	1432	2528	501	437	1143	462	2751	459	2182	sp	Q94738	HSP97_MESFR	58.286	887	345	8	1	2589	1	886	0	941	Phel_contig_2080
g17844.t1	1581.697734	-2.194245313	0.445294842	-4.927623469	8.32E-07	1.08E-05	1502	2554	1315	340	1206	1432	2528	501	437	1143	462	2751	459	2182	sp	Q94738	HSP97_MESFR	58.286	887	345	8	1	2589	1	886	0	941	Phel_contig_7541
g1785.t1	1675.017243	-1.729797763	0.327197325	-5.286711201	1.25E-07	2.04E-06	1690	2354	1375	501	1398	1670	2208	1067	766	1182	743	2806	925	2233	sp	O14522	PTPRT_HUMAN	35.433	889	520	14	3928	6471	566	1441	2.47E-158	532	Phel_contig_619
g17857.t1	103.2307795	-3.634933791	0.989932759	-3.671899689	0.000240754	0.001444372	15	2	10	6	295	121	7	16	38	0	23	917	47	36	sp	Q5RD64	CNTP2_PONAB	32	200	126	6	388	987	598	787	4.59E-24	106	Phel_contig_1504
g17857.t1	103.2307795	-3.634933791	0.989932759	-3.671899689	0.000240754	0.001444372	15	2	10	6	295	121	7	16	38	0	23	917	47	36	sp	Q5RD64	CNTP2_PONAB	32	200	126	6	388	987	598	787	4.59E-24	106	Phel_contig_22898
g17858.t1	328.9552547	-3.312833692	0.914652264	-3.621959758	0.00029238	0.001699887	19	6	66	16	697	563	23	49	142	5	99	2390	158	500	sp	Q9C0A0	CNTP4_HUMAN	36.634	202	112	8	439	1020	592	785	3.96E-25	110	Phel_contig_8143
g17930.t1	70.33438906	-1.318581995	0.402135462	-3.278949806	0.001041942	0.004883147	22	48	43	46	108	123	57	69	46	17	30	134	119	112	sp	O95164	UBL3_HUMAN	72.072	111	30	1	28	360	8	117	1.20E-55	172	Phel_contig_7628
g17943.t1	415.7027552	-4.387756509	0.872724284	-5.027654887	4.97E-07	6.78E-06	38	12	10	11	2348	807	54	25	119	28	42	2169	102	201	sp	A7Y2W8	SC6A9_XENLA	51.795	585	264	5	19	1731	5	585	0	595	Phel_contig_5542
g17964.t1	223.5054595	1.561336785	0.343765592	4.541864636	5.58E-06	5.71E-05	46	108	399	416	173	194	49	587	227	384	285	47	672	72	sp	Q90744	NAGAB_CHICK	55.959	386	169	1	49	1203	1	386	3.26E-166	474	Phel_contig_19722
g17977.t1	231.0697221	-2.143427571	0.309143677	-6.933434936	4.11E-12	1.94E-10	181	366	104	69	247	250	382	131	104	95	102	375	132	261	sp	Q9Z255	UBE2A_MOUSE	92.617	149	11	0	1	447	1	149	2.79E-102	292	Phel_contig_5895
g18054.t1	41.27639908	3.028362461	0.470602156	6.435079876	1.23E-10	4.30E-09	4	5	27	140	4	17	9	101	118	78	61	3	120	9	sp	P79761	CP1A5_CHICK	36.842	437	253	8	175	1440	69	497	5.33E-86	278	Phel_contig_12365
g18066.t1	339.4941799	-1.391592607	0.260809818	-5.335660351	9.52E-08	1.60E-06	378	568	257	193	362	263	403	279	194	196	218	451	283	329	sp	Q6DHL4	SUMO2_DANRE	50.575	87	43	0	37	297	8	94	3.67E-28	101	Phel_contig_8695
g1807.t1	388.2647182	-3.131798656	0.838730077	-3.73397681	0.00018848	0.001179209	511	262	83	79	366	262	878	30	180	244	0	211	17	1006	sp	P41233	ABCA1_MOUSE	47.395	998	473	18	4909	7821	1275	2247	0	865	Phel_contig_3848
g1807.t1	388.2647182	-3.131798656	0.838730077	-3.73397681	0.00018848	0.001179209	511	262	83	79	366	262	878	30	180	244	0	211	17	1006	sp	P41233	ABCA1_MOUSE	43.501	977	479	14	1513	4428	359	1267	0	789	Phel_contig_3848
g1807.t1	388.2647182	-3.131798656	0.838730077	-3.73397681	0.00018848	0.001179209	511	262	83	79	366	262	878	30	180	244	0	211	17	1006	sp	P41233	ABCA1_MOUSE	24.827	721	433	22	5827	7779	583	1264	2.48E-47	192	Phel_contig_3848
g1807.t1	388.2647182	-3.131798656	0.838730077	-3.73397681	0.00018848	0.001179209	511	262	83	79	366	262	878	30	180	244	0	211	17	1006	sp	P41233	ABCA1_MOUSE	39.526	253	146	2	3118	3855	1891	2143	2.52E-45	186	Phel_contig_3848
g1807.t3	338.428486	-1.748349993	0.502981266	-3.475974374	0.000509001	0.002681358	83	123	122	293	278	460	384	356	80	165	137	946	222	760	sp	P41233	ABCA1_MOUSE	47.395	998	473	18	4906	7818	1275	2247	0	865	Phel_contig_3848
g1807.t3	338.428486	-1.748349993	0.502981266	-3.475974374	0.000509001	0.002681358	83	123	122	293	278	460	384	356	80	165	137	946	222	760	sp	P41233	ABCA1_MOUSE	47.97	788	391	9	1513	3861	359	1132	0	754	Phel_contig_3848
g1807.t3	338.428486	-1.748349993	0.502981266	-3.475974374	0.000509001	0.002681358	83	123	122	293	278	460	384	356	80	165	137	946	222	760	sp	P41233	ABCA1_MOUSE	24.827	721	433	22	5824	7776	583	1264	1.83E-47	193	Phel_contig_3848
g1807.t3	338.428486	-1.748349993	0.502981266	-3.475974374	0.000509001	0.002681358	83	123	122	293	278	460	384	356	80	165	137	946	222	760	sp	P41233	ABCA1_MOUSE	39.526	253	146	2	3118	3855	1891	2143	2.37E-45	186	Phel_contig_3848
g1807.t4	569.9326245	-3.489233331	0.865506971	-4.031432964	5.54E-05	0.000419855	268	0	68	21	1388	1336	641	65	158	19	149	1240	405	1396	sp	P41233	ABCA1_MOUSE	47.992	971	456	17	4906	7737	1299	2247	0	862	Phel_contig_3848
g1807.t4	569.9326245	-3.489233331	0.865506971	-4.031432964	5.54E-05	0.000419855	268	0	68	21	1388	1336	641	65	158	19	149	1240	405	1396	sp	P41233	ABCA1_MOUSE	47.97	788	391	9	1513	3861	359	1132	0	753	Phel_contig_3848
g1807.t4	569.9326245	-3.489233331	0.865506971	-4.031432964	5.54E-05	0.000419855	268	0	68	21	1388	1336	641	65	158	19	149	1240	405	1396	sp	P41233	ABCA1_MOUSE	24.827	721	433	22	5743	7695	583	1264	2.97E-47	192	Phel_contig_3848
g1807.t4	569.9326245	-3.489233331	0.865506971	-4.031432964	5.54E-05	0.000419855	268	0	68	21	1388	1336	641	65	158	19	149	1240	405	1396	sp	P41233	ABCA1_MOUSE	39.526	253	146	2	3118	3855	1891	2143	3.12E-45	185	Phel_contig_3848
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	52.442	471	220	4	193	1596	161	630	3.90E-143	466	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	52.442	471	220	4	193	1596	161	630	3.90E-143	466	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	52.079	457	215	4	238	1599	366	821	1.87E-140	459	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	52.079	457	215	4	238	1599	366	821	1.87E-140	459	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	47.438	527	232	6	238	1686	214	739	1.91E-138	453	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	47.438	527	232	6	238	1686	214	739	1.91E-138	453	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	47.879	495	218	3	238	1602	252	746	1.73E-137	451	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	47.879	495	218	3	238	1602	252	746	1.73E-137	451	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	48.904	456	231	2	235	1596	479	934	5.42E-130	431	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	48.904	456	231	2	235	1596	479	934	5.42E-130	431	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	50.777	386	190	0	445	1602	171	556	8.56E-117	394	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	50.777	386	190	0	445	1602	171	556	8.56E-117	394	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	53.459	159	74	0	1129	1605	171	329	7.44E-42	171	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	53.459	159	74	0	1129	1605	171	329	7.44E-42	171	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	43.455	191	106	2	235	801	745	935	8.44E-38	158	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	43.455	191	106	2	235	801	745	935	8.44E-38	158	Phel_contig_5797
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	42.038	157	87	4	223	684	779	934	1.44E-23	112	Phel_contig_5796
g18175.t1	17.37618136	1.101826198	0.369975887	2.978102731	0.002900388	0.011537861	6	7	19	38	6	10	4	31	22	31	20	27	52	9	sp	P10079	FBP1_STRPU	42.038	157	87	4	223	684	779	934	1.44E-23	112	Phel_contig_5797
g18247.t1	638.8979401	-3.361787997	0.526059823	-6.390505127	1.65E-10	5.57E-09	529	742	49	45	503	739	1375	236	150	281	89	627	111	1482	sp	Q9C0D6	FHDC1_HUMAN	39.348	399	229	4	916	2097	94	484	3.27E-76	276	Phel_contig_12358
g18370.t1	29.04545399	1.912291114	0.419873598	4.55444477	5.25E-06	5.44E-05	19	21	46	56	5	8	3	46	40	88	53	15	66	3	sp	B5DEQ3	XPP3_RAT	55.23	239	105	1	40	756	268	504	3.42E-99	301	Phel_contig_18553
g18379.t1	3220.554212	-3.271710246	0.493017652	-6.63609149	3.22E-11	1.27E-09	926	778	425	799	4937	5284	5624	1018	789	907	499	9184	791	6454	sp	O08623	SQSTM_RAT	32.927	492	251	17	4	1407	3	439	5.25E-57	198	Phel_contig_385
g18394.t1	106.5134694	1.541807001	0.355971451	4.331265877	1.48E-05	0.000132378	50	16	115	237	68	86	42	271	121	261	147	37	232	23	sp	Q7Z2H8	S36A1_HUMAN	46.384	401	197	5	139	1299	37	433	1.29E-82	266	Phel_contig_11243
g18402.t1	569.0170534	-1.801258461	0.312336366	-5.767046859	8.07E-09	1.77E-07	558	746	322	311	421	500	905	331	260	319	311	1027	318	670	sp	Q3TZM9	ALG11_MOUSE	61.124	427	166	0	1	1281	65	491	0	551	Phel_contig_6226
g1842.t1	113.5567141	0.640898898	0.171853188	3.729339597	0.000191982	0.001196079	80	91	163	169	109	65	39	202	138	178	144	76	205	71	sp	Q0VA16	WDR70_XENTR	59.397	431	170	4	85	1374	194	620	2.31E-179	519	Phel_contig_2814
g18496.t1	195.5276375	-2.433584357	0.427719084	-5.689679161	1.27E-08	2.66E-07	169	139	86	71	116	170	363	78	75	46	69	274	107	496	sp	Q9JMD3	STA10_MOUSE	47.826	138	71	1	7	420	134	270	2.33E-40	140	Phel_contig_5637
