gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2	uniprotID	geneID	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P
g15129.t1	80.05022615	3.96934414	0.926313056	4.285100068	1.83e-05	0.006799495	0	1	10	17	399	160	1	10	15	0	106	399	61	20	sp	P35760	VA5_VESMC	38.983	177	84	5	55	531	31	201	5.91e-31	115	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15820.t1	54.80169223	3.25018063	0.660700102	4.919297912	8.69e-07	0.00091428	3	5	18	12	348	117	2	5	9	0	38	177	46	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g20160.t1	14.84393703	1.675692946	0.466876074	3.589160031	0.000331745	0.045638998	5	6	28	15	29	11	0	25	13	7	48	18	36	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15181.t1	1546.442033	-1.38468076	0.321690912	-4.304382583	1.67e-05	0.006358155	2995	3264	261	412	543	858	2727	672	409	604	324	1675	447	2303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11893.t1	18.29741308	3.061514768	0.6826396	4.484818589	7.3e-06	0.00384847	5	4	81	1	55	33	5	7	5	5	11	7	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g4147.t1	7124.448956	-0.88224554	0.210196388	-4.197244061	2.7e-05	0.008843826	11794	7719	4978	8176	4330	6139	5872	12736	5324	5616	3964	6810	6319	7555	sp	Q99814	EPAS1_HUMAN	51.053	190	83	3	79	648	22	201	7.86e-54	188	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11259.t2	15.54037185	4.597425141	1.143379512	4.02090915	5.8e-05	0.014110714	19	8	47	0	9	45	0	0	0	0	54	8	39	9	sp	P35992	PTP10_DROME	38.086	491	274	6	2146	3609	1076	1539	5.61e-93	335	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12308.t1	13.42459703	1.364356085	0.380670992	3.584082089	0.000338266	0.046201254	4	9	30	11	17	19	3	9	9	13	11	28	43	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17267.t1	220.0015039	-0.914688733	0.24481822	-3.736195503	0.000186825	0.031829007	409	236	167	268	136	119	172	365	184	252	207	147	242	162	sp	A1L2K1	METRL_XENLA	25.667	300	169	8	70	870	5	283	2.54e-29	116	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17025.t1	1255.601774	-1.460335871	0.374558068	-3.898823693	9.67e-05	0.020853539	1100	644	445	914	870	1071	1342	1438	1337	2008	473	1185	353	2914	sp	Q27433	MEC2_CAEEL	71.318	258	73	1	34	804	112	369	1.01e-105	318	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5607.t1	69.92403105	4.443483887	1.181878299	3.759679732	0.000170131	0.029727435	5	2	3	2	913	1	2	4	0	0	8	55	1	1	sp	Q6ZMT9	DTHD1_HUMAN	33.333	483	255	17	679	2034	178	624	2.04e-61	226	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1664.t1	397.5578372	0.963235319	0.237319721	4.058808572	4.93e-05	0.01297763	328	163	460	322	1049	585	158	369	270	178	461	646	554	271	sp	Q7ZWX9	MIDNB_XENLA	39.206	403	213	8	64	1194	7	403	3.9e-59	203	NA	NA	NA	NA	NA	NA	NA	NA	NA
g782.t1	253.6222731	6.215611426	1.228102989	5.061148356	4.17e-07	0.000623162	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	34.074	405	185	19	109	1290	134	467	1.19e-45	172	NA	NA	NA	NA	NA	NA	NA	NA	NA
g782.t1	253.6222731	6.215611426	1.228102989	5.061148356	4.17e-07	0.000623162	3	3	7	4	2775	7	8	0	0	0	70	775	0	4	sp	P17945	HGF_RAT	31.579	304	145	14	415	1299	134	383	4.85e-24	108	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11353.t1	1636.52761	-1.593319843	0.307045143	-5.189203871	2.11e-07	0.000400954	2360	1523	443	2114	368	732	1536	1980	2076	3045	970	1449	1472	2109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8842.t1	325.3392111	2.365575602	0.610059873	3.877612191	0.000105487	0.022038283	15	120	64	45	1535	376	26	106	57	16	189	1731	272	222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3179.t1	17.18292663	7.167665124	1.26743422	5.655256117	1.56e-08	9.85e-05	0	0	0	0	143	35	0	0	0	0	26	34	19	0	sp	Q2V2M9	FHOD3_HUMAN	51.136	528	233	7	4597	6111	889	1414	1.04e-155	523	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17719.t1	66.740993	2.388409952	0.504178061	4.737234989	2.17e-06	0.001788337	10	12	68	21	73	88	9	17	55	10	169	286	197	42	sp	Q8AVH7	EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.72e-61	219	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9343.t1	165.1720365	-1.744352677	0.474578936	-3.675579645	0.00023731	0.036958877	195	287	61	218	88	94	299	121	192	163	80	120	11	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23103.t1	101.2469608	-2.127640228	0.461520545	-4.610066118	4.03e-06	0.002561441	89	27	15	175	17	37	121	337	96	253	63	42	77	85	sp	P22105	TENX_HUMAN	32.897	687	322	40	73	1977	148	747	1.22e-30	133	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9984.t1	133.9759624	3.084031217	0.723356897	4.263498737	2.01e-05	0.007075451	7	10	34	69	503	345	5	30	25	1	93	708	146	41	sp	P16446	PIPNA_RAT	37.453	267	151	8	64	822	2	266	1.73e-47	162	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15793.t1	39.56887715	2.45152568	0.471270291	5.201952527	1.97e-07	0.000400954	8	8	19	14	85	104	7	23	19	10	35	186	89	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13468.t1	63.43524155	4.78079007	1.149789916	4.157968343	3.21e-05	0.009676037	0	2	15	0	688	35	0	12	2	0	11	140	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13330.t1	10.53213694	2.91856926	0.59452354	4.909089485	9.15e-07	0.00091428	3	3	9	3	30	53	1	2	0	0	6	18	21	7	sp	O13067	CND2_XENLA	39.193	694	357	18	169	2175	45	698	5.42e-139	427	NA	NA	NA	NA	NA	NA	NA	NA	NA
g624.t1	166.2936279	-2.032039219	0.569715378	-3.566762105	0.000361419	0.047982835	30	12	99	128	6	13	11	676	175	1039	160	8	288	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23714.t2	10.10942592	5.09313566	1.263078086	4.032320502	5.52e-05	0.013617126	0	0	1	1	110	14	0	0	0	0	7	11	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6492.t1	139.1505953	-1.189335421	0.306053909	-3.886032447	0.000101896	0.021735882	51	31	145	414	20	13	16	586	204	360	248	13	200	17	sp	Q6FHJ7	SFRP4_HUMAN	39.86	286	127	8	13	747	1	282	1.64e-56	189	NA	NA	NA	NA	NA	NA	NA	NA	NA
g4148.t1	14048.88244	-0.861642358	0.204287418	-4.217794556	2.47e-05	0.008363687	22621	13768	8926	14816	8637	11325	12870	22738	9827	12614	7743	14655	13743	16124	sp	Q98SW2	HIF1A_ONCMY	45.54	213	95	2	4	579	228	440	7.65e-57	208	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14455.t1	223.9666686	3.937360779	0.913997871	4.307844585	1.65e-05	0.006358155	44	8	6	3	2711	53	25	0	0	1	34	132	7	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10014.t1	75.94390018	-1.987819656	0.381583494	-5.209396334	1.89e-07	0.000400954	67	135	10	42	31	58	79	162	104	57	28	27	39	139	sp	Q07537	GALT1_BOVIN	54.344	587	226	9	22	1764	7	557	0	653	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6847.t1	390.3741219	-0.639568654	0.146828229	-4.355897063	1.33e-05	0.005241563	475	322	340	506	251	285	272	532	438	590	363	321	544	339	sp	Q9UPU7	TBD2B_HUMAN	35.455	990	535	15	256	3126	33	951	0	566	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1749.t1	43.58052134	-3.500320047	0.951203848	-3.679884239	0.00023334	0.03691631	10	76	0	11	3	17	108	38	10	42	0	84	0	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11899.t1	203.3337592	2.048374111	0.428380688	4.781667732	1.74e-06	0.001500219	35	110	242	57	648	294	81	34	28	27	79	754	285	225	sp	Q8VI93	OAS3_MOUSE	25.963	701	425	24	4	1965	452	1105	4.65e-43	171	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23985.t2	206.0398712	1.233700547	0.333870807	3.695143512	0.000219763	0.035967184	86	55	194	168	539	179	66	290	180	116	464	226	573	98	sp	P21575	DYN1_RAT	70.893	773	186	4	1	2241	1	760	0	1106	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23108.t1	825.2507148	-1.904666635	0.413256217	-4.608924338	4.05e-06	0.002561441	520	326	173	1268	157	296	1012	2615	1002	1570	620	408	715	893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12858.t1	29.43600143	4.089679068	1.11747137	3.659761833	0.00025245	0.038651282	1	3	1	2	372	6	1	1	0	0	3	28	0	1	sp	P53452	DRD1L_TAKRU	46.429	308	128	3	187	999	37	344	3.78e-87	276	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23110.t1	106.4205061	-1.877653107	0.427989456	-4.387148049	1.15e-05	0.004938362	74	43	25	197	18	28	130	315	147	146	98	60	81	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g239.t1	58.48518879	6.310050733	1.439576256	4.383269525	1.17e-05	0.004938362	1	2	0	0	634	7	0	0	0	0	49	143	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g465.t1	5.726339801	3.269924117	0.898962569	3.637441903	0.000275359	0.041009873	0	0	1	2	22	17	1	0	0	0	1	31	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g9978.t1	106.4488486	2.442986747	0.667979822	3.657276264	0.00025491	0.038715669	14	26	55	19	151	203	6	36	95	6	48	775	164	32	sp	O57382	TLL2_XENLA	25.18	417	232	14	436	1533	349	736	4.47e-31	133	NA	NA	NA	NA	NA	NA	NA	NA	NA
g24155.t1	21.75682576	3.86253413	1.046527539	3.69080983	0.000223541	0.036028632	1	2	2	0	203	7	0	3	5	0	4	82	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g14872.t1	861.7448135	2.586920342	0.68509984	3.77597569	0.000159383	0.029430348	53	38	741	326	692	2328	123	502	1596	170	479	2988	4196	116	sp	O93484	CO1A2_ONCMY	33.333	234	143	6	8377	9045	1124	1355	6.12e-34	148	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3945.t1	3.474485279	4.495195922	1.19574394	3.759329879	0.000170369	0.029727435	0	0	2	0	8	20	0	0	1	0	0	15	7	0	sp	P47236	PAX1_CHICK	69.756	205	54	2	28	624	1	203	2.41e-86	258	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10615.t1	179.7565802	-0.609333286	0.152061497	-4.007150381	6.15e-05	0.014404162	145	130	204	395	99	115	78	302	272	263	211	78	320	120	sp	Q19AZ8	THRB_PIG	38.756	209	113	7	472	1056	376	583	1.92e-32	136	NA	NA	NA	NA	NA	NA	NA	NA	NA
g8977.t1	38.53861481	4.493565683	0.901373471	4.985242884	6.19e-07	0.000788768	3	1	0	3	138	49	0	10	3	1	65	279	34	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11872.t1	200.6440625	-2.26822355	0.517804047	-4.38046702	1.18e-05	0.004938362	313	230	23	460	19	35	152	789	224	250	155	126	90	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g16133.t1	27.23633129	1.595574896	0.442482518	3.605961437	0.000310999	0.043542565	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	32.432	370	185	11	1069	2103	468	797	5.67e-50	192	NA	NA	NA	NA	NA	NA	NA	NA	NA
g16133.t1	27.23633129	1.595574896	0.442482518	3.605961437	0.000310999	0.043542565	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	34.025	241	148	4	1	723	230	459	4.54e-26	118	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22445.t1	397.5598048	-0.797601034	0.186547312	-4.275596492	1.91e-05	0.006828375	338	263	320	593	245	264	235	628	712	696	465	162	586	340	sp	A2RT67	DEND3_MOUSE	31.226	1313	744	38	331	3966	11	1265	4.46e-177	566	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7540.t1	26.69733504	3.412911731	0.774858438	4.404561611	1.06e-05	0.004791363	2	1	13	7	179	31	1	10	15	0	26	80	38	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23100.t1	230.7032805	-1.753355304	0.453345618	-3.867590722	0.000109916	0.022199512	256	33	44	424	119	80	301	578	330	307	135	138	186	246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7857.t1	3092.570548	-2.391476243	0.6091329	-3.92603362	8.64e-05	0.018916187	1495	422	3881	8298	38	142	566	17336	6327	5642	1952	48	6212	56	sp	P42577	FRIS_LYMST	46.341	164	52	1	28	411	7	170	1.02e-46	152	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6502.t1	449.8333652	5.434152531	1.221905495	4.447277268	8.7e-06	0.004233439	8	5	15	4	5002	155	1	0	0	0	192	807	2	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23670.t1	54.55177087	4.79753254	1.131680847	4.239298168	2.24e-05	0.007739656	1	0	4	0	607	22	1	4	2	0	58	72	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5197.t1	27.17620729	-2.543415637	0.676642061	-3.758879006	0.000170676	0.029727435	13	7	19	12	3	1	19	131	58	119	17	5	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3840.t1	11.6200458	3.114624219	0.766122937	4.065436588	4.79e-05	0.012819589	4	4	3	3	44	18	4	2	1	0	43	39	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g18244.t1	103.948849	-1.929527609	0.508526138	-3.794352863	0.000148029	0.028387184	87	141	4	7	59	103	260	35	27	64	10	110	8	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21563.t1	45.51003855	4.47601968	1.116683378	4.008315846	6.12e-05	0.014404162	0	1	2	0	516	24	0	0	2	3	22	68	5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12333.t1	36.5998169	4.984819021	1.164600515	4.280282341	1.87e-05	0.006814752	1	0	8	0	417	9	7	1	0	0	15	58	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23718.t1	78.59170285	5.480957976	1.339112441	4.09297816	4.26e-05	0.012156624	1	1	3	3	963	2	0	0	0	0	0	151	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.068	1180	696	31	124	3591	194	1315	1.04e-166	577	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.267	464	274	16	961	2328	910	1350	1.16e-55	220	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	26.069	725	437	26	2638	4686	193	860	9.39e-42	174	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.535	396	256	10	106	1275	542	916	1.33e-37	160	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.841	371	240	11	124	1224	1000	1350	2.53e-35	152	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5031.t2	57.31792724	-1.222066385	0.32475345	-3.763058975	0.000167848	0.029727435	77	51	32	77	24	20	55	109	47	114	68	30	66	37	sp	Q0VC16	TGO1_BOVIN	28.962	549	332	11	196	1722	1157	1687	3.34e-44	174	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11894.t2	14.950903	-7.084710346	1.767987693	-4.007217005	6.14e-05	0.014404162	0	16	0	22	0	0	0	0	17	150	0	0	0	16	sp	Q8BXR5	NALCN_MOUSE	51.817	1789	727	27	13	5148	3	1733	0	1676	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11890.t1	464.2194914	2.658682413	0.726385087	3.660155559	0.000252062	0.038651282	35	14	8	10	2218	1325	47	7	21	10	101	2318	22	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10608.t1	639.1143568	6.201530486	1.143266303	5.424397157	5.82e-08	0.000220797	5	8	14	28	7235	17	2	2	9	0	176	1712	12	8	sp	Q8WPD0	LECG_PATPE	37.838	148	85	4	460	897	26	168	2.05e-26	105	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	42.92	226	121	3	397	1062	701	922	3.59e-46	172	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.975	237	119	2	442	1071	192	427	3.46e-39	152	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.19	242	116	2	442	1062	53	293	9.97e-38	147	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	36.709	237	119	3	442	1071	323	555	7.63e-35	139	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.069	232	115	3	442	1056	454	681	6.11e-34	136	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7620.t1	89778.51905	-0.756518164	0.126832575	-5.964699252	2.45e-09	4.65e-05	122480	81989	66913	104441	72482	77426	64505	129731	86465	96111	59090	79234	84437	113873	sp	P42577	FRIS_LYMST	67.262	168	55	0	1	504	3	170	6.23e-82	243	NA	NA	NA	NA	NA	NA	NA	NA	NA
g18136.t1	32.77751958	3.245518069	0.854002853	3.800359751	0.000144486	0.028073482	1	1	4	0	134	159	1	1	6	0	7	126	12	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15917.t1	9.42642548	3.480289113	0.963092689	3.613659571	0.000301905	0.043095294	1	0	5	0	5	23	3	2	2	0	4	88	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17338.t1	71.6755078	3.042622184	0.772941713	3.936418662	8.27e-05	0.01847277	8	1	26	21	180	145	13	40	50	12	68	385	177	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7003.t1	36.67497126	-4.031900331	1.014063331	-3.97598474	7.01e-05	0.016227225	86	8	2	4	3	20	53	2	78	202	2	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23104.t1	508.1086849	-2.130562676	0.443234165	-4.806855704	1.53e-06	0.001386109	390	142	65	958	112	189	672	1663	694	764	295	187	436	531	sp	Q29116	TENA_PIG	30.396	556	293	28	67	1611	185	687	4.62e-27	125	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21610.t1	9192.92764	-0.869527359	0.229909914	-3.782035074	0.000155551	0.02923905	14040	9398	6626	9493	4287	7440	8213	12363	8631	8785	8260	5827	9948	11467	sp	Q8MPM1	GELS2_LUMTE	49.866	373	165	5	1	1083	1	363	2.44e-127	373	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1748.t1	221.2801509	-1.619562231	0.399291391	-4.056091032	4.99e-05	0.01297763	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	46.333	300	148	4	2776	3648	832	1127	4.9e-77	281	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1748.t1	221.2801509	-1.619562231	0.399291391	-4.056091032	4.99e-05	0.01297763	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	31.387	274	153	12	316	1107	96	344	1.5e-31	138	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13571.t1	37.00907221	4.539579388	1.121076468	4.049303967	5.14e-05	0.01317923	3	1	1	3	390	3	7	0	1	0	68	46	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15734.t1	23.61772224	7.488964736	1.389365073	5.390206565	7.04e-08	0.000222684	0	0	2	0	282	2	0	0	0	0	32	18	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23378.t1	87.16541719	7.859224263	1.38199359	5.686874614	1.29e-08	9.85e-05	1	4	2	0	904	3	0	0	0	0	122	233	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12669.t1	10.67842796	1.821254354	0.511143752	3.563096187	0.000366506	0.048320294	6	8	14	3	29	15	1	2	8	0	17	25	21	10	sp	Q29RT6	KI20A_BOVIN	39.658	643	315	14	76	1950	24	611	4.91e-135	427	NA	NA	NA	NA	NA	NA	NA	NA	NA
